t,o,h,l,c
1637090160,1.13237,1.13246,1.13234,1.13246
1637090220,1.13245,1.13264,1.13245,1.13264
1637090280,1.13262,1.1327,1.13262,1.1327
1637090340,1.1327,1.13295,1.1327,1.13293
1637090400,1.13291,1.13299,1.13274,1.13277
1637090460,1.13275,1.13275,1.13251,1.13254
1637090520,1.13251,1.1326,1.13251,1.13254
1637090580,1.13253,1.13259,1.13246,1.13248
1637090640,1.13246,1.13257,1.13246,1.13248
1637090700,1.13246,1.13248,1.1324,1.13244
1637090760,1.13243,1.13243,1.13233,1.13234
1637090820,1.13237,1.1324,1.1323,1.13237
1637090880,1.13235,1.13237,1.13221,1.13222
1637090940,1.13221,1.13222,1.13206,1.13207
1637091000,1.13207,1.13217,1.13206,1.13217
1637091060,1.13225,1.13237,1.13223,1.13226
1637091120,1.13225,1.13225,1.1321,1.1322
1637091180,1.13221,1.13227,1.13213,1.13227
1637091240,1.13226,1.1323,1.1322,1.1322
1637091300,1.13219,1.13225,1.13219,1.13224
1637091360,1.13221,1.13233,1.13214,1.13228
1637091420,1.13228,1.13237,1.13225,1.13233
1637091480,1.13228,1.13237,1.13228,1.13234
1637091540,1.13228,1.1323,1.13215,1.13216
1637091600,1.13211,1.13235,1.13211,1.13235
1637091660,1.13234,1.13234,1.13228,1.13228
1637091720,1.1323,1.1323,1.13223,1.13224
1637091780,1.13223,1.13224,1.13211,1.13211
1637091840,1.13211,1.13216,1.13209,1.13216
1637091900,1.13215,1.13216,1.13209,1.13209
1637091960,1.1321,1.13211,1.13188,1.13193
1637092020,1.13193,1.13198,1.13192,1.13192
1637092080,1.13191,1.13193,1.13186,1.13186
1637092140,1.13185,1.13191,1.13184,1.13191
1637092200,1.13192,1.13199,1.13188,1.13197
1637092260,1.13198,1.13206,1.13197,1.13205
1637092320,1.13204,1.13205,1.132,1.13202
1637092380,1.132,1.13211,1.132,1.13209
1637092440,1.13208,1.1321,1.13208,1.13209
1637092500,1.13208,1.13209,1.13202,1.13202
1637092560,1.13202,1.1321,1.13202,1.13209
1637092620,1.13209,1.1322,1.13195,1.13198
1637092680,1.13199,1.13201,1.13183,1.13184
1637092740,1.13183,1.13185,1.13157,1.13162
1637092800,1.13162,1.13167,1.13149,1.13154
1637092860,1.13154,1.13172,1.13154,1.13167
1637092920,1.13167,1.13173,1.13163,1.13167
1637092980,1.13167,1.13169,1.13156,1.13158
1637093040,1.13158,1.13165,1.13156,1.13162
1637093100,1.13164,1.1317,1.1316,1.13167
1637093160,1.13166,1.13167,1.13164,1.13164
1637093220,1.13167,1.13176,1.13166,1.13176
1637093280,1.13179,1.13188,1.13176,1.13188
1637093340,1.13187,1.13187,1.13182,1.13183
1637093400,1.13182,1.13182,1.13172,1.13172
1637093460,1.13172,1.13183,1.13171,1.13174
1637093520,1.13172,1.13172,1.13166,1.1317
1637093580,1.13171,1.13175,1.13171,1.13175
1637093640,1.13172,1.13176,1.13163,1.13172
1637093700,1.13173,1.13178,1.13171,1.13176
1637093760,1.13176,1.13184,1.13156,1.13157
1637093820,1.13161,1.13172,1.1316,1.13171
1637093880,1.13173,1.13176,1.13163,1.13165
1637093940,1.13167,1.13172,1.13167,1.13171
