t,o,h,l,c
1637094000,1.1317,1.13175,1.13169,1.13174
1637094060,1.13173,1.13174,1.13164,1.13169
1637094120,1.13167,1.13169,1.13166,1.13167
1637094180,1.13169,1.1317,1.13157,1.13157
1637094240,1.13156,1.13163,1.13156,1.13163
1637094300,1.13164,1.13175,1.13164,1.13175
1637094360,1.13173,1.13187,1.13173,1.13187
1637094420,1.13188,1.13205,1.13184,1.13205
1637094480,1.13201,1.13213,1.13201,1.13209
1637094540,1.13209,1.1321,1.13199,1.13209
1637094600,1.13207,1.13223,1.13206,1.13223
1637094660,1.13223,1.13225,1.13202,1.13202
1637094720,1.13205,1.13205,1.13185,1.13193
1637094780,1.13189,1.13191,1.13183,1.13183
1637094840,1.13183,1.13188,1.13181,1.13183
1637094900,1.13182,1.13186,1.1318,1.1318
1637094960,1.13179,1.13186,1.13176,1.13186
1637095020,1.13188,1.13197,1.13187,1.13193
1637095080,1.13193,1.13199,1.13193,1.13196
1637095140,1.13198,1.13198,1.13181,1.13182
1637095200,1.13181,1.13181,1.13153,1.13163
1637095260,1.13163,1.13176,1.13163,1.13176
1637095320,1.13174,1.1318,1.13173,1.13178
1637095380,1.13176,1.13178,1.13171,1.13176
1637095440,1.13176,1.13178,1.13166,1.13167
1637095500,1.13172,1.13172,1.13154,1.13155
1637095560,1.13156,1.13157,1.13145,1.13153
1637095620,1.13152,1.1316,1.13147,1.13149
1637095680,1.13149,1.13164,1.13147,1.13161
1637095740,1.1316,1.13167,1.13155,1.13165
1637095800,1.13163,1.1317,1.13163,1.13166
1637095860,1.13167,1.13172,1.13167,1.1317
1637095920,1.13172,1.13173,1.13167,1.13167
1637095980,1.13167,1.13167,1.13162,1.13162
1637096040,1.13163,1.13167,1.13151,1.13153
1637096100,1.13151,1.13152,1.13125,1.13137
1637096160,1.13139,1.13141,1.13118,1.13126
1637096220,1.13125,1.13132,1.13121,1.13126
1637096280,1.13127,1.13127,1.13114,1.13119
1637096340,1.1312,1.13127,1.13119,1.13123
1637096400,1.13123,1.13126,1.13119,1.13123
1637096460,1.13119,1.13119,1.13086,1.13107
1637096520,1.13109,1.13132,1.13107,1.13131
1637096580,1.13132,1.13135,1.1313,1.13134
1637096640,1.13132,1.13138,1.13132,1.13136
1637096700,1.13135,1.13136,1.1313,1.1313
1637096760,1.13125,1.13125,1.13114,1.13114
1637096820,1.13114,1.13132,1.13108,1.13132
1637096880,1.13132,1.13135,1.13123,1.13123
1637096940,1.13122,1.13127,1.13122,1.13127
1637097000,1.13126,1.13126,1.13122,1.13123
1637097060,1.13123,1.13123,1.13114,1.13117
1637097120,1.13116,1.13118,1.13111,1.13111
1637097180,1.1311,1.13131,1.1311,1.1313
1637097240,1.13131,1.13138,1.13126,1.13138
1637097300,1.13138,1.13145,1.13135,1.13142
1637097360,1.13143,1.13144,1.13138,1.13141
1637097420,1.13138,1.13149,1.13138,1.13149
1637097480,1.13151,1.13153,1.13145,1.13152
1637097540,1.13151,1.13158,1.13151,1.13153
1637097600,1.13155,1.13169,1.13149,1.13169
1637097660,1.13166,1.13167,1.13165,1.13167
1637097720,1.13167,1.1317,1.13165,1.13169
1637097780,1.13169,1.13179,1.13167,1.13176
1637097840,1.13176,1.13176,1.13172,1.13173
1637097900,1.13173,1.13179,1.1317,1.13174
1637097960,1.13174,1.13178,1.13172,1.13178
1637098020,1.13179,1.13179,1.13162,1.13167
1637098080,1.13165,1.13174,1.13163,1.13165
1637098140,1.13167,1.1317,1.13162,1.13169
1637098200,1.1317,1.13173,1.13164,1.13173
1637098260,1.1317,1.13173,1.1317,1.13173
1637098320,1.13172,1.13174,1.13169,1.13174
1637098380,1.13172,1.13174,1.13169,1.13173
1637098440,1.13174,1.13174,1.13169,1.13169
1637098500,1.1317,1.13173,1.13167,1.13173
1637098560,1.13172,1.13173,1.13172,1.13172
1637098620,1.13173,1.13175,1.13173,1.13174
1637098680,1.13173,1.13173,1.13167,1.1317
1637098740,1.13171,1.13171,1.13167,1.1317
1637098800,1.13167,1.13181,1.13167,1.1318
1637098860,1.1318,1.1318,1.13178,1.13178
1637098920,1.13178,1.13178,1.13173,1.13173
1637098980,1.13175,1.13176,1.13174,1.13176
1637099040,1.13176,1.13182,1.13176,1.13179
1637099100,1.13178,1.13178,1.13176,1.13178
1637099160,1.13179,1.13187,1.13179,1.13183
1637099220,1.13182,1.13188,1.13181,1.13182
1637099280,1.13183,1.13188,1.13181,1.13182
1637099340,1.13182,1.13189,1.13182,1.13187
1637099400,1.13189,1.13189,1.13185,1.13185
1637099460,1.13185,1.13188,1.13182,1.13184
1637099520,1.13183,1.13187,1.13176,1.13178
1637099580,1.13178,1.13178,1.13165,1.13173
1637099640,1.13172,1.13185,1.13172,1.1318
1637099700,1.1318,1.13184,1.13179,1.13183
1637099760,1.13185,1.13193,1.13182,1.13189
1637099820,1.13188,1.13191,1.13181,1.13186
1637099880,1.13186,1.13192,1.13182,1.1319
1637099940,1.13189,1.132,1.13189,1.132
1637100300,1.13188,1.13195,1.13187,1.13195
1637100360,1.13189,1.13204,1.13189,1.13204
1637100420,1.13199,1.13206,1.13199,1.13199
1637100480,1.13199,1.13199,1.13199,1.13199
1637100600,1.13195,1.13195,1.13184,1.13195
1637100660,1.13202,1.13202,1.13193,1.13193
1637100720,1.13184,1.1319,1.13184,1.1319
1637100900,1.13204,1.13204,1.13191,1.13202
1637100960,1.13202,1.13205,1.13199,1.132
1637101020,1.13201,1.13201,1.13199,1.13199
1637101080,1.132,1.13201,1.13199,1.13201
1637101140,1.13206,1.13206,1.13202,1.13202
1637101200,1.13208,1.13208,1.13202,1.13202
1637101320,1.13202,1.13202,1.13202,1.13202
1637101380,1.13199,1.13202,1.13199,1.13202
1637101500,1.132,1.132,1.132,1.132
1637101620,1.13201,1.13211,1.13201,1.13211
1637101740,1.1321,1.1321,1.1321,1.1321
1637101800,1.13211,1.13216,1.13201,1.13201
1637101860,1.13206,1.1321,1.132,1.13207
1637101920,1.132,1.1321,1.132,1.13202
1637101980,1.13202,1.13206,1.13196,1.13202
1637102040,1.13202,1.13202,1.13199,1.13199
1637102100,1.13201,1.13202,1.132,1.13201
1637102160,1.132,1.13208,1.13199,1.132
1637102220,1.13199,1.132,1.13199,1.13199
1637102280,1.13198,1.132,1.13198,1.132
1637102340,1.132,1.132,1.13199,1.13199
1637102400,1.132,1.13205,1.13199,1.13205
1637102460,1.13209,1.13209,1.13204,1.13204
1637102520,1.13204,1.13204,1.13204,1.13204
1637102580,1.13205,1.13205,1.13204,1.13204
1637102640,1.13204,1.13207,1.13204,1.13207
1637102700,1.13209,1.13209,1.13208,1.13209
1637102760,1.13208,1.13214,1.13208,1.13213
1637102820,1.13211,1.13213,1.13211,1.13211
1637102880,1.13211,1.13213,1.13211,1.13213
1637102940,1.13215,1.13217,1.13215,1.13217
1637103000,1.13218,1.13218,1.13217,1.13218
1637103060,1.13217,1.13219,1.13217,1.13219
1637103120,1.13219,1.1322,1.13216,1.13216
1637103180,1.13217,1.13223,1.13214,1.13214
1637103240,1.13214,1.1322,1.13214,1.1322
1637103300,1.1322,1.13224,1.13214,1.13224
1637103360,1.13224,1.13226,1.13224,1.13226
1637103420,1.13226,1.13226,1.13219,1.13221
1637103480,1.13219,1.13223,1.13219,1.13219
1637103540,1.13219,1.13219,1.13209,1.13209
1637103600,1.13209,1.13209,1.13192,1.13192
1637103660,1.13193,1.13199,1.13178,1.13179
1637103720,1.13182,1.13191,1.13178,1.13189
1637103780,1.13189,1.1319,1.13186,1.1319
1637103840,1.13189,1.1319,1.13186,1.13188
1637103900,1.13187,1.13188,1.13186,1.13186
1637103960,1.13186,1.13186,1.13178,1.13179
1637104020,1.13178,1.1318,1.13176,1.13179
1637104080,1.13178,1.13179,1.13176,1.13176
1637104140,1.13178,1.13178,1.13175,1.13175
1637104200,1.13176,1.13176,1.13173,1.13173
1637104260,1.13173,1.13176,1.13173,1.13176
1637104320,1.13175,1.13176,1.13171,1.13176
1637104380,1.13176,1.13176,1.13167,1.13169
1637104440,1.13169,1.13176,1.13169,1.1317
1637104500,1.13172,1.13175,1.13149,1.13152
1637104560,1.13154,1.13158,1.1314,1.1314
1637104620,1.13141,1.13141,1.13132,1.13137
1637104680,1.13136,1.13149,1.13132,1.13142
1637104740,1.13143,1.13148,1.1314,1.13147
1637104800,1.13148,1.13157,1.13146,1.13155
1637104860,1.13155,1.13161,1.13155,1.1316
1637104920,1.13158,1.13161,1.13144,1.13144
1637104980,1.13144,1.13144,1.13139,1.13144
1637105040,1.13146,1.13149,1.13144,1.13144
1637105100,1.13144,1.13149,1.13144,1.13148
1637105160,1.13147,1.13147,1.13139,1.1314
1637105220,1.13141,1.13144,1.13138,1.13141
1637105280,1.13141,1.13142,1.13138,1.13138
1637105340,1.1314,1.13141,1.13131,1.13131
1637105400,1.13129,1.13132,1.13129,1.13131
1637105460,1.13132,1.13132,1.13132,1.13132
1637105520,1.13135,1.13138,1.13131,1.13135
1637105580,1.13134,1.13138,1.13128,1.13138
1637105640,1.13139,1.13144,1.13139,1.13143
1637105700,1.13143,1.13152,1.13141,1.13151
1637105760,1.13152,1.13152,1.13134,1.13134
1637105820,1.13137,1.13144,1.13131,1.13132
1637105880,1.13132,1.13137,1.13126,1.13132
1637105940,1.13132,1.13136,1.13127,1.13127
1637106000,1.13126,1.13126,1.13108,1.13113
1637106060,1.13112,1.13112,1.13107,1.13107
1637106120,1.13106,1.13107,1.13097,1.13097
1637106180,1.13097,1.13099,1.13094,1.13097
1637106240,1.13097,1.13117,1.13097,1.13117
1637106300,1.13118,1.13127,1.13118,1.13127
1637106360,1.13126,1.13129,1.13123,1.13126
1637106420,1.13125,1.13134,1.13125,1.13132
1637106480,1.1313,1.13136,1.13128,1.13136
1637106540,1.13137,1.13155,1.13137,1.13154
1637106600,1.13155,1.1316,1.13154,1.1316
1637106660,1.13161,1.13166,1.13161,1.13165
1637106720,1.13164,1.13172,1.13164,1.1317
1637106780,1.1317,1.13175,1.1317,1.13175
1637106840,1.13176,1.13181,1.13176,1.13179
1637106900,1.13181,1.13181,1.13171,1.13172
1637106960,1.13173,1.13175,1.13173,1.13174
1637107020,1.13173,1.13175,1.1317,1.13174
1637107080,1.13176,1.13176,1.13176,1.13176
1637107140,1.13176,1.13179,1.13174,1.13176
1637107200,1.13176,1.13176,1.13157,1.13157
1637107380,1.13153,1.13176,1.13135,1.13176
1637107440,1.13176,1.13183,1.13176,1.13183
1637107500,1.13181,1.13181,1.13178,1.13181
1637107560,1.13182,1.13199,1.13181,1.13198
1637107620,1.13198,1.13198,1.13187,1.13188
1637107680,1.13187,1.13191,1.13185,1.13191
1637107740,1.1319,1.13193,1.13186,1.13193
1637107800,1.13192,1.13196,1.13186,1.13195
1637107860,1.13202,1.13213,1.13198,1.1321
1637107920,1.13209,1.13209,1.13204,1.13204
1637107980,1.13202,1.13206,1.13201,1.13206
1637108040,1.13204,1.13206,1.13202,1.13206
1637108100,1.13205,1.13211,1.13205,1.13211
1637108160,1.13211,1.13216,1.13211,1.13216
1637108220,1.13217,1.13219,1.13214,1.13216
1637108280,1.13217,1.13219,1.13216,1.13219
1637108340,1.13217,1.13219,1.13216,1.13219
1637108400,1.1322,1.13221,1.13211,1.13211
1637108460,1.13209,1.13209,1.13202,1.13202
1637108520,1.13201,1.13202,1.13197,1.13202
1637108580,1.13204,1.13209,1.13204,1.13209
1637108640,1.13208,1.13226,1.13207,1.13225
1637108700,1.13226,1.13228,1.13216,1.13216
1637108760,1.13213,1.13219,1.13211,1.13219
1637108820,1.13218,1.13228,1.13218,1.13224
1637108880,1.13223,1.13223,1.13216,1.1322
1637108940,1.13219,1.13228,1.13218,1.13226
1637109000,1.13227,1.13228,1.1321,1.13215
1637109060,1.13216,1.13219,1.13204,1.13217
1637109120,1.13218,1.13219,1.13207,1.13209
1637109180,1.1321,1.1321,1.13197,1.132
1637109240,1.13199,1.13206,1.13195,1.13206
1637109300,1.13206,1.13207,1.13201,1.13201
1637109360,1.132,1.132,1.13188,1.13188
1637109420,1.13189,1.13205,1.13189,1.13191
1637109480,1.13192,1.13192,1.13176,1.13176
1637109540,1.13176,1.13176,1.13171,1.13172
1637109600,1.13173,1.13179,1.13167,1.13176
1637109660,1.13178,1.13183,1.13178,1.13183
1637109720,1.13181,1.13184,1.13178,1.13181
1637109780,1.1318,1.13181,1.13173,1.13173
1637109840,1.13174,1.13179,1.13174,1.13179
1637109900,1.13179,1.13185,1.13175,1.13175
1637109960,1.13174,1.13179,1.13172,1.13178
1637110020,1.13176,1.1318,1.13175,1.1318
1637110080,1.13178,1.13179,1.13175,1.13178
1637110140,1.13179,1.13184,1.13179,1.1318
1637110200,1.13181,1.13189,1.13181,1.13189
1637110260,1.13189,1.13202,1.13189,1.13201
1637110320,1.132,1.132,1.13192,1.13193
1637110380,1.13195,1.13204,1.13193,1.13204
1637110440,1.13205,1.13208,1.13205,1.13206
1637110500,1.13206,1.13209,1.13205,1.13208
1637110560,1.13209,1.13215,1.13209,1.13214
1637110620,1.13213,1.13214,1.13211,1.13214
1637110680,1.13214,1.1322,1.13214,1.13218
1637110740,1.13219,1.13219,1.13218,1.13218
1637110800,1.13217,1.13219,1.13214,1.13219
1637110860,1.1322,1.13228,1.1322,1.13228
1637110920,1.13226,1.13226,1.13204,1.13205
1637110980,1.13204,1.13205,1.132,1.13205
1637111040,1.13206,1.13215,1.13206,1.13214
1637111100,1.13213,1.13219,1.1321,1.13219
1637111160,1.13218,1.13225,1.13217,1.13222
1637111220,1.13223,1.13228,1.13221,1.13228
1637111280,1.13228,1.13228,1.13224,1.13224
1637111340,1.13223,1.13227,1.13223,1.13226
1637111400,1.13224,1.13234,1.13224,1.13228
1637111460,1.13228,1.13241,1.13228,1.1324
1637111520,1.13239,1.13246,1.13239,1.13241
1637111580,1.13242,1.13246,1.13237,1.13245
1637111640,1.13246,1.13246,1.13239,1.1324
1637111700,1.13237,1.1324,1.13226,1.13227
1637111760,1.13226,1.13236,1.13225,1.13228
1637111820,1.1323,1.13235,1.13228,1.1323
1637111880,1.13231,1.1324,1.13231,1.13237
1637111940,1.13237,1.13239,1.13232,1.13235
1637112000,1.13234,1.13234,1.13226,1.13226
1637112060,1.13226,1.13237,1.13226,1.13237
1637112120,1.13237,1.13243,1.13237,1.1324
1637112180,1.13241,1.13243,1.1324,1.13242
1637112240,1.1324,1.13245,1.1324,1.13244
1637112300,1.13245,1.1325,1.13244,1.13249
1637112360,1.13251,1.13255,1.13251,1.13254
1637112420,1.13253,1.13255,1.13251,1.13254
1637112480,1.13255,1.13262,1.13254,1.13261
1637112540,1.1326,1.13262,1.13259,1.1326
1637112600,1.13261,1.13261,1.13252,1.13259
1637112660,1.13258,1.13264,1.13255,1.13261
1637112720,1.1326,1.13261,1.13246,1.13246
1637112780,1.13243,1.13244,1.13235,1.13237
1637112840,1.13239,1.13241,1.13236,1.13236
1637112900,1.13236,1.13246,1.13236,1.13245
1637112960,1.13246,1.1325,1.13246,1.13249
1637113020,1.1325,1.13255,1.13248,1.13255
1637113080,1.13253,1.13253,1.13246,1.13246
1637113140,1.13245,1.13252,1.13243,1.13248
1637113200,1.13246,1.13251,1.13246,1.13251
1637113260,1.13252,1.13254,1.13235,1.13235
1637113320,1.13237,1.13239,1.13222,1.13226
1637113380,1.13225,1.13228,1.13225,1.13226
1637113440,1.13227,1.1323,1.13224,1.13228
1637113500,1.13227,1.13227,1.13225,1.13226
1637113560,1.13223,1.13228,1.13223,1.13228
1637113620,1.13228,1.13228,1.13223,1.13228
1637113680,1.13227,1.13228,1.13224,1.13225
1637113740,1.13224,1.13235,1.13224,1.13234
1637113800,1.13233,1.13237,1.1323,1.13235
1637113860,1.13236,1.13236,1.13231,1.13233
1637113920,1.13234,1.13235,1.13217,1.13217
1637113980,1.13218,1.13223,1.13213,1.13223
1637114040,1.13222,1.13223,1.13215,1.1322
1637114100,1.13218,1.13224,1.13214,1.13224
1637114160,1.13223,1.13224,1.13215,1.13217
1637114220,1.13216,1.13227,1.13215,1.13225
1637114280,1.13226,1.13232,1.13224,1.13231
1637114340,1.1323,1.1323,1.1322,1.13227
1637114400,1.13226,1.13226,1.13214,1.13218
1637114460,1.13217,1.1322,1.13208,1.13208
1637114520,1.13207,1.13207,1.13199,1.13201
1637114580,1.13202,1.13205,1.13201,1.13204
1637114640,1.13202,1.1322,1.13202,1.13219
1637114700,1.1322,1.1322,1.13208,1.13213
1637114760,1.13215,1.13215,1.13211,1.13214
1637114820,1.13215,1.13215,1.13208,1.13211
1637114880,1.13211,1.13213,1.13206,1.13207
1637114940,1.13206,1.13211,1.13205,1.13207
1637115000,1.13206,1.13207,1.13196,1.13198
1637115060,1.13199,1.13209,1.13199,1.13204
1637115120,1.13202,1.13206,1.13202,1.13202
1637115180,1.13202,1.13202,1.13201,1.13201
1637115240,1.13199,1.13204,1.13198,1.13204
1637115300,1.13202,1.13204,1.13193,1.13196
1637115360,1.13195,1.13197,1.13195,1.13196
1637115420,1.13195,1.13196,1.13192,1.13193
1637115480,1.13195,1.132,1.13195,1.132
1637115540,1.13199,1.13201,1.13198,1.13199
1637115600,1.132,1.13205,1.13197,1.13202
1637115660,1.13202,1.13207,1.13198,1.13202
1637115720,1.13202,1.13207,1.13202,1.13202
1637115780,1.132,1.13202,1.13199,1.13199
1637115840,1.132,1.13202,1.13199,1.132
1637115900,1.13202,1.13202,1.13196,1.13201
1637115960,1.13202,1.13207,1.13202,1.13207
1637116020,1.13206,1.13207,1.13205,1.13207
1637116080,1.13206,1.13207,1.13206,1.13207
1637116140,1.13206,1.13227,1.13202,1.13211
1637116200,1.13211,1.13215,1.1321,1.13213
1637116260,1.13211,1.13214,1.13206,1.13207
1637116320,1.13208,1.1321,1.13202,1.13204
1637116380,1.13205,1.13211,1.13202,1.13211
1637116440,1.1321,1.13214,1.13209,1.13214
1637116500,1.13215,1.1322,1.13214,1.13217
1637116560,1.13218,1.13228,1.13218,1.13228
1637116620,1.13228,1.13232,1.13227,1.13227
1637116680,1.13225,1.13228,1.13224,1.13228
1637116740,1.13228,1.13234,1.13222,1.13225
1637116800,1.13226,1.13233,1.13225,1.13231
1637116860,1.13232,1.13234,1.1323,1.1323
1637116920,1.13228,1.13233,1.13228,1.13231
1637116980,1.1323,1.13236,1.1323,1.13234
1637117040,1.13233,1.13235,1.1323,1.13231
1637117100,1.1323,1.13231,1.13225,1.13225
1637117160,1.13227,1.13228,1.13225,1.13226
1637117220,1.13225,1.13225,1.1322,1.13221
1637117280,1.13224,1.13226,1.13223,1.13225
1637117340,1.13226,1.13226,1.13211,1.13213
1637117400,1.13211,1.13211,1.13202,1.13202
1637117460,1.132,1.13202,1.13193,1.13193
1637117520,1.13195,1.13195,1.13186,1.13186
1637117580,1.13185,1.13192,1.13185,1.13192
1637117640,1.13191,1.13193,1.13188,1.13193
1637117700,1.13193,1.132,1.13193,1.13199
1637117760,1.13197,1.13199,1.1319,1.13198
1637117820,1.13199,1.13206,1.13197,1.13205
1637117880,1.13207,1.13208,1.13202,1.13206
1637117940,1.13205,1.13215,1.13202,1.13214
1637118000,1.13215,1.13217,1.13211,1.13216
1637118060,1.13214,1.13216,1.13207,1.13211
1637118120,1.13209,1.13214,1.13206,1.13206
1637118180,1.13205,1.13205,1.13181,1.13183
1637118240,1.13182,1.13182,1.13166,1.13167
1637118300,1.13167,1.13172,1.13167,1.13167
1637118360,1.13167,1.13171,1.13164,1.13171
1637118420,1.13173,1.13175,1.13167,1.13171
1637118480,1.1317,1.13171,1.13156,1.13156
1637118540,1.13155,1.13157,1.13149,1.13157
1637118600,1.13155,1.13156,1.13146,1.13147
1637118660,1.13146,1.13146,1.13137,1.1314
1637118720,1.13139,1.13141,1.13136,1.1314
1637118780,1.13141,1.13144,1.1314,1.1314
1637118840,1.13141,1.13155,1.1314,1.13152
1637118900,1.13153,1.13153,1.1314,1.1314
1637118960,1.13141,1.13141,1.13137,1.1314
1637119020,1.13139,1.13142,1.13137,1.13141
1637119080,1.1314,1.13141,1.13137,1.13137
1637119140,1.13136,1.13136,1.13123,1.13125
1637119200,1.13126,1.13126,1.13116,1.13116
1637119260,1.13114,1.13116,1.13101,1.13106
1637119320,1.13108,1.13119,1.13108,1.13119
1637119380,1.13118,1.13118,1.1311,1.13117
1637119440,1.13116,1.13119,1.13108,1.13109
1637119500,1.1311,1.13122,1.1311,1.13122
1637119560,1.13121,1.13129,1.13121,1.13126
1637119620,1.13125,1.13125,1.13118,1.13118
1637119680,1.13116,1.13118,1.13114,1.13117
1637119740,1.13116,1.13117,1.13107,1.1311
1637119800,1.13111,1.13116,1.13109,1.13114
1637119860,1.13114,1.13114,1.13105,1.13105
1637119920,1.13104,1.13108,1.13104,1.13108
1637119980,1.13109,1.13109,1.13104,1.13107
1637120040,1.13108,1.13108,1.13101,1.13101
1637120100,1.13102,1.13105,1.13088,1.13088
1637120160,1.13086,1.13096,1.13084,1.13094
1637120220,1.13093,1.13094,1.1309,1.13091
1637120280,1.1309,1.13096,1.1309,1.13092
1637120340,1.13091,1.13091,1.13085,1.13085
1637120400,1.13084,1.13088,1.13066,1.13066
1637120460,1.13066,1.13066,1.12707,1.12707
1637120520,1.12713,1.12725,1.12633,1.12695
1637120580,1.12695,1.12846,1.12695,1.12798
1637120640,1.12795,1.12837,1.12785,1.12791
1637120700,1.12793,1.12841,1.12793,1.1284
1637120760,1.12837,1.12851,1.12816,1.1283
1637120820,1.12831,1.12847,1.12815,1.12818
1637120880,1.12819,1.129,1.12819,1.12886
1637120940,1.1289,1.12901,1.12881,1.12881
1637121000,1.12881,1.12916,1.12862,1.12904
1637121060,1.12903,1.12916,1.12889,1.12893
1637121120,1.12894,1.1292,1.12892,1.12894
1637121180,1.12895,1.12921,1.12895,1.12921
1637121240,1.12919,1.1293,1.12916,1.12924
1637121300,1.12919,1.12919,1.12858,1.12864
1637121360,1.12866,1.12895,1.12866,1.12877
1637121420,1.12876,1.12895,1.12865,1.1289
1637121480,1.12889,1.12895,1.12863,1.12868
1637121540,1.1287,1.12886,1.1287,1.12884
1637121600,1.12885,1.12943,1.12884,1.12943
1637121660,1.12944,1.1295,1.12928,1.12949
1637121720,1.1295,1.1295,1.12939,1.12948
1637121780,1.12949,1.12964,1.12917,1.12923
1637121840,1.12925,1.12932,1.12919,1.12919
1637121900,1.12921,1.12944,1.12921,1.12932
1637121960,1.1293,1.12936,1.12924,1.1293
1637122020,1.12932,1.12936,1.12915,1.12916
1637122080,1.12917,1.12917,1.1291,1.12914
1637122140,1.12912,1.12914,1.12895,1.12897
1637122200,1.12898,1.12902,1.12894,1.12895
1637122260,1.12897,1.12925,1.12897,1.12921
1637122320,1.12921,1.12939,1.12919,1.12934
1637122380,1.12935,1.12946,1.12923,1.12928
1637122440,1.12926,1.12948,1.12925,1.12948
1637122500,1.12949,1.1297,1.12949,1.12969
1637122560,1.12968,1.12977,1.12962,1.1297
1637122620,1.12971,1.12976,1.1297,1.12976
1637122680,1.12974,1.12993,1.12973,1.1299
1637122740,1.12991,1.13009,1.12991,1.13005
1637122800,1.13003,1.13006,1.12974,1.12982
1637122860,1.12981,1.12993,1.12974,1.12981
1637122920,1.12982,1.12982,1.12969,1.12973
1637122980,1.12972,1.12972,1.12967,1.1297
1637123040,1.12972,1.12974,1.12971,1.12972
1637123100,1.12965,1.1297,1.12953,1.12955
1637123160,1.12953,1.12961,1.1295,1.12961
1637123220,1.12962,1.12989,1.12962,1.12989
1637123280,1.12991,1.12995,1.12976,1.12976
1637123340,1.12977,1.12984,1.12974,1.12974
1637123400,1.12973,1.12983,1.12971,1.12974
1637123460,1.12976,1.12976,1.12963,1.12967
1637123520,1.12967,1.1297,1.12963,1.12967
1637123580,1.12968,1.1297,1.12952,1.12952
1637123640,1.12951,1.12964,1.12949,1.1296
1637123700,1.12959,1.12965,1.12959,1.12962
1637123760,1.12963,1.12979,1.12963,1.12974
1637123820,1.12974,1.12983,1.12971,1.12976
1637123880,1.12974,1.12977,1.12971,1.12974
1637123940,1.12974,1.12976,1.12965,1.12972
1637124000,1.12972,1.12981,1.12968,1.12971
1637124060,1.1297,1.12981,1.1297,1.12978
1637124120,1.12979,1.12984,1.12977,1.12984
1637124180,1.12984,1.12994,1.12984,1.12991
1637124240,1.12993,1.12994,1.12981,1.12981
1637124300,1.12982,1.12982,1.12979,1.1298
1637124360,1.12979,1.12984,1.12974,1.12978
1637124420,1.12979,1.12997,1.12974,1.12995
1637124480,1.12994,1.12997,1.12986,1.12991
1637124540,1.1299,1.12991,1.12989,1.1299
