t,o,h,l,c
1635901200,1.15794,1.15811,1.15793,1.15804
1635902100,1.15805,1.15809,1.1577,1.15786
1635903000,1.15787,1.15818,1.15785,1.15816
1635903900,1.15818,1.15828,1.15791,1.15821
1635904800,1.15821,1.15821,1.158,1.15806
1635905700,1.15806,1.15818,1.15796,1.15805
1635906600,1.15805,1.15808,1.15795,1.15796
1635907500,1.15795,1.15869,1.15795,1.15836
1635908400,1.15834,1.15838,1.15822,1.15834
1635909300,1.15833,1.15846,1.15825,1.1583
1635910200,1.15829,1.15836,1.15817,1.15831
1635911100,1.15833,1.15833,1.15815,1.15826
1635912000,1.15825,1.15826,1.158,1.158
1635912900,1.15802,1.15824,1.15799,1.1582
1635913800,1.15821,1.15828,1.15811,1.15816
1635914700,1.15817,1.15832,1.15806,1.15831
1635915600,1.15832,1.15835,1.15817,1.15824
1635916500,1.15825,1.15839,1.15822,1.15835
1635917400,1.15833,1.1584,1.15809,1.15812
1635918300,1.15813,1.15853,1.15803,1.15851
1635919200,1.1585,1.15851,1.15814,1.15816
1635920100,1.15818,1.15853,1.15804,1.15836
1635921000,1.15835,1.15836,1.15809,1.15821
1635921900,1.15821,1.15836,1.15808,1.15823
1635922800,1.15822,1.15857,1.15791,1.15847
1635923700,1.15848,1.15873,1.15836,1.15851
1635924600,1.1585,1.15853,1.158,1.15805
1635925500,1.15805,1.15818,1.15783,1.15805
1635926400,1.15806,1.15837,1.15781,1.15837
1635927300,1.15838,1.15888,1.15838,1.15876
1635928200,1.15877,1.15881,1.15847,1.15868
1635929100,1.15866,1.15871,1.15818,1.15853
1635930000,1.15855,1.15877,1.15844,1.15851
1635930900,1.15852,1.15918,1.15852,1.15906
1635931800,1.15907,1.15974,1.15905,1.15922
1635932700,1.15921,1.15925,1.15887,1.15923
1635933600,1.15923,1.15923,1.15797,1.15833
1635934500,1.15832,1.15868,1.15788,1.15867
1635935400,1.15869,1.15905,1.15846,1.15903
1635936300,1.15904,1.15925,1.15877,1.159
1635937200,1.15899,1.15899,1.15838,1.15844
1635938100,1.15846,1.159,1.15827,1.15887
1635939000,1.15886,1.15925,1.15881,1.15906
1635939900,1.15905,1.15918,1.15861,1.15869
1635940800,1.15871,1.15887,1.15837,1.15858
1635941700,1.15858,1.1586,1.15771,1.15838
1635942600,1.1584,1.15891,1.15827,1.15851
1635943500,1.1585,1.15874,1.15809,1.15833
1635944400,1.15832,1.15832,1.15762,1.15773
1635945300,1.15772,1.15772,1.15679,1.15714
1635946200,1.1571,1.15748,1.1568,1.15742
1635947100,1.15743,1.15746,1.1569,1.15708
1635948000,1.15677,1.1573,1.15619,1.15634
1635948900,1.15635,1.15698,1.1562,1.15697
1635949800,1.15695,1.15781,1.15688,1.15753
1635950700,1.15755,1.15798,1.15735,1.15778
1635951600,1.15779,1.15793,1.1573,1.15743
1635952500,1.15744,1.15841,1.15742,1.15831
1635953400,1.15833,1.15855,1.15767,1.15774
1635954300,1.15773,1.1585,1.1577,1.15844
1635955200,1.15842,1.15842,1.15778,1.15798
1635956100,1.15797,1.15855,1.15792,1.15853
1635957000,1.15848,1.15848,1.1578,1.15783
1635957900,1.15785,1.15828,1.15774,1.15823
1635958800,1.15824,1.15843,1.15788,1.15822
1635959700,1.15823,1.15823,1.15785,1.15795
1635960600,1.15796,1.15811,1.1578,1.15811
1635961500,1.15809,1.15868,1.158,1.15821
1635962400,1.15825,1.1609,1.15751,1.15859
1635963300,1.15857,1.15925,1.15782,1.15822
1635964200,1.15822,1.15919,1.15715,1.15885
1635965100,1.15883,1.1616,1.15883,1.16096
1635966000,1.16098,1.16104,1.15957,1.16037
1635966900,1.16036,1.16037,1.15947,1.15988
1635967800,1.15989,1.16148,1.15976,1.1613
1635968700,1.16129,1.16154,1.16069,1.1607
1635969600,1.16069,1.16086,1.16039,1.16073
1635970500,1.16075,1.16149,1.16071,1.16113
1635971400,1.16113,1.16142,1.1609,1.16099
1635972300,1.16099,1.16122,1.16092,1.16111
1635973200,1.16077,1.16113,1.16045,1.16076
1635974100,1.16078,1.16119,1.16076,1.16116
1635975000,1.16118,1.16149,1.16116,1.16137
1635975900,1.16136,1.16151,1.16108,1.16134
1635976800,1.16141,1.16155,1.1613,1.16151
1635977700,1.16156,1.16156,1.16115,1.16116
1635978600,1.16115,1.1612,1.16097,1.16114
1635979500,1.16113,1.16128,1.16103,1.16125
1635980400,1.16124,1.16134,1.16094,1.16096
1635981300,1.16098,1.16156,1.16096,1.16155
1635982200,1.16155,1.16159,1.16123,1.16129
1635983100,1.1613,1.1616,1.16127,1.16151
1635984000,1.16149,1.16158,1.16111,1.16123
1635984900,1.16124,1.16152,1.16124,1.16134
1635985800,1.16134,1.16139,1.16121,1.16127
1635986700,1.16128,1.16134,1.16112,1.16121
1635987600,1.16122,1.16122,1.16085,1.16088
1635988500,1.16089,1.1611,1.16081,1.16101
1635989400,1.16099,1.16105,1.16049,1.16055
1635990300,1.16055,1.16059,1.16027,1.16032
1635991200,1.16034,1.16037,1.15999,1.16008
1635992100,1.16009,1.1604,1.16009,1.16039
1635993000,1.16039,1.16055,1.16031,1.16054
1635993900,1.16053,1.16064,1.16027,1.16044
1635994800,1.16045,1.16048,1.16008,1.1601
1635995700,1.16011,1.16011,1.15953,1.15958
1635996600,1.15956,1.15957,1.15932,1.15939
1635997500,1.15938,1.15941,1.15925,1.1593
1635998400,1.15929,1.15955,1.15928,1.15955
1635999300,1.15952,1.15952,1.15936,1.15946
1636000200,1.15945,1.1595,1.15929,1.15941
1636001100,1.15941,1.15944,1.15904,1.15904
1636002000,1.15903,1.15917,1.15883,1.15883
1636002900,1.15882,1.15883,1.15851,1.15882
1636003800,1.15879,1.15885,1.1586,1.15864
1636004700,1.15864,1.15895,1.1585,1.15884
1636005600,1.15882,1.15882,1.15817,1.15822
1636006500,1.15824,1.15835,1.15804,1.15832
